Id,SalePrice
2658,[168252.8689776]
2718,[202237.76538227]
2414,[182919.3377106]
1989,[143236.93141398]
625,[169256.7978133]
333,[102095.50700936]
1327,[113911.34815579]
858,[144722.66582859]
95,[209699.03280362]
1568,[150411.48382187]
2482,[191707.13315627]
1364,[128840.9983097]
2584,[158623.28094947]
818,[316162.19525175]
2673,[139967.61066718]
2089,[117238.44003639]
1297,[151520.4712761]
790,[118604.46150346]
2616,[183919.06892063]
720,[185176.55973325]
222,[126123.53430488]
557,[123325.75443643]
1148,[224894.27618529]
2766,[130143.43818038]
534,[188552.46413164]
1452,[101893.89645198]
630,[143699.81244077]
2648,[191112.11205649]
125,[159484.93282679]
1904,[70700.36275309]
1670,[110572.99326748]
756,[134286.9136568]
717,[276819.78403849]
1032,[154689.05312884]
852,[221603.00732734]
1731,[167106.83514486]
2639,[163119.7547738]
2071,[120138.96575084]
1267,[129033.66983979]
1851,[205677.19259354]
567,[179333.03621867]
2439,[204956.32953872]
1898,[159937.02123357]
647,[149578.04587985]
2256,[216191.72578325]
979,[94684.45246905]
1444,[217958.88885442]
2485,[103441.55803602]
157,[108899.34240219]
88,[115244.29248099]
2003,[116479.60499893]
186,[211200.61987793]
1425,[247344.81247166]
2695,[133809.48243503]
738,[120210.25600725]
395,[142421.70775325]
1353,[162873.78008069]
1878,[133521.46382616]
390,[147890.74748959]
1456,[233990.64422757]
1103,[297490.77182005]
1387,[153502.26816871]
2070,[136905.56027768]
1199,[152812.36757152]
2479,[193066.30252278]
501,[300355.05015825]
2362,[80571.12745008]
1718,[205747.46702219]
2188,[78030.70422344]
1483,[167228.66251815]
2557,[122916.6047495]
437,[360261.91891674]
2224,[191010.7361593]
1628,[178178.49128563]
397,[121330.01508282]
587,[196490.88875705]
2182,[554169.56884222]
971,[138506.84587068]
2611,[130242.73672512]
1887,[79931.04052446]
2399,[367097.70623994]
2148,[214075.34971477]
304,[113203.99440169]
1997,[130948.57808727]
2817,[143376.38872857]
1431,[176164.62050616]
427,[384118.38957195]
263,[119019.67099875]
598,[176057.71799686]
2895,[229859.78838436]
687,[150756.43238915]
1822,[121043.97095381]
2191,[116642.5329733]
179,[140777.10517806]
1009,[192344.58954547]
2010,[116549.37850977]
1991,[129913.47781243]
1411,[163679.29046817]
1721,[224228.73431839]
1144,[201586.34019917]
593,[200447.10041926]
575,[284121.85159422]
1249,[189541.73188338]
1604,[103627.3192529]
1064,[421307.62145431]
1923,[130303.12708882]
1988,[90951.88786995]
2325,[173953.09204655]
114,[200174.98308103]
